Date,Time,Open,High,Low,Close,Volume
20210718,00:00:00,1810.89,1815.78,1810.24,1815.59,1
20210719,00:00:00,1815.59,1817.18,1794.87,1811.38,46
20210720,00:00:00,1811.39,1824.90,1804.95,1809.65,38
20210721,00:00:00,1809.57,1813.66,1794.61,1802.45,34
20210722,00:00:00,1802.45,1808.37,1792.65,1807.04,36
20210723,00:00:00,1807.04,1810.22,1789.41,1801.70,32
20210725,00:00:00,1801.99,1802.61,1799.90,1800.20,1
20210726,00:00:00,1800.20,1811.40,1796.30,1797.62,36
20210727,00:00:00,1797.59,1805.12,1793.49,1799.81,30
20210728,00:00:00,1799.82,1810.20,1792.42,1809.24,35
20210729,00:00:00,1809.19,1832.59,1808.50,1830.14,33
20210730,00:00:00,1830.14,1831.25,1810.14,1813.40,27
20210801,00:00:00,1813.32,1815.08,1811.98,1813.82,2
20210802,00:00:00,1813.82,1819.42,1805.64,1812.39,35
20210803,00:00:00,1812.53,1814.91,1807.02,1811.06,24
20210804,00:00:00,1811.03,1831.61,1806.33,1811.52,32
20210805,00:00:00,1811.52,1814.75,1797.71,1803.40,29
20210806,00:00:00,1803.40,1803.62,1758.58,1762.57,34
20210808,00:00:00,1762.89,1764.45,1670.49,1718.97,4
20210809,00:00:00,1718.97,1752.50,1706.48,1731.39,42
20210810,00:00:00,1731.39,1738.16,1717.60,1726.82,32
20210811,00:00:00,1726.81,1754.29,1723.99,1752.23,33
20210812,00:00:00,1752.23,1758.04,1741.48,1753.33,28
20210813,00:00:00,1753.33,1779.85,1751.57,1779.22,29
20210815,00:00:00,1778.13,1780.00,1777.88,1778.78,1
20210816,00:00:00,1778.78,1789.20,1770.70,1787.41,36
20210817,00:00:00,1787.36,1795.44,1780.45,1786.05,32
20210818,00:00:00,1786.05,1793.64,1777.21,1787.39,29
20210819,00:00:00,1787.40,1792.37,1774.36,1778.93,34
20210820,00:00:00,1778.94,1788.28,1778.27,1780.46,29
20210822,00:00:00,1779.60,1782.23,1777.26,1778.54,1
20210823,00:00:00,1778.57,1806.38,1776.39,1804.73,30
20210824,00:00:00,1804.67,1809.46,1800.65,1801.71,26
20210825,00:00:00,1801.67,1802.56,1782.45,1791.56,28
20210826,00:00:00,1791.54,1798.10,1779.93,1793.42,31
20210827,00:00:00,1793.41,1819.22,1783.80,1816.16,33
20210829,00:00:00,1818.33,1819.03,1817.15,1818.37,1
20210830,00:00:00,1818.39,1823.08,1807.62,1810.35,22
20210831,00:00:00,1810.35,1819.08,1801.60,1814.45,28
20210901,00:00:00,1814.41,1819.90,1808.58,1813.06,24
20210902,00:00:00,1813.05,1817.00,1804.88,1809.42,22
20210903,00:00:00,1809.43,1833.91,1808.85,1827.29,32
20210905,00:00:00,1829.97,1830.10,1827.36,1827.49,1
20210906,00:00:00,1827.46,1828.38,1821.34,1823.45,14
20210907,00:00:00,1823.43,1827.13,1792.30,1795.61,33
20210908,00:00:00,1795.59,1802.07,1782.25,1790.65,39
20210909,00:00:00,1790.66,1800.88,1783.72,1794.66,28
20210910,00:00:00,1794.66,1803.75,1786.98,1787.05,36
20210912,00:00:00,1788.35,1789.36,1786.92,1787.28,1
20210913,00:00:00,1787.27,1798.26,1783.57,1792.94,37
20210914,00:00:00,1792.93,1808.56,1780.29,1803.62,42
20210915,00:00:00,1803.62,1806.80,1790.66,1794.97,34
20210916,00:00:00,1794.97,1796.07,1745.22,1753.78,39
20210917,00:00:00,1753.77,1767.42,1747.26,1753.49,36
20210919,00:00:00,1753.96,1755.05,1751.22,1754.01,1
20210920,00:00:00,1754.02,1767.05,1741.98,1764.88,36
20210921,00:00:00,1764.86,1781.66,1757.84,1774.82,36
20210922,00:00:00,1774.82,1787.19,1764.50,1766.84,41
20210923,00:00:00,1766.84,1776.46,1737.77,1746.12,40
20210924,00:00:00,1746.13,1757.56,1740.34,1749.88,37
20210926,00:00:00,1751.50,1751.50,1748.09,1749.45,1
20210927,00:00:00,1749.44,1760.74,1744.76,1751.20,45
20210928,00:00:00,1751.18,1754.34,1728.01,1735.24,50
20210929,00:00:00,1735.24,1745.42,1721.55,1728.73,51
20210930,00:00:00,1728.72,1764.09,1722.10,1752.98,53
20211001,00:00:00,1752.97,1764.18,1749.65,1760.10,49
20211003,00:00:00,1762.08,1765.15,1760.14,1763.06,2
20211004,00:00:00,1763.06,1770.47,1747.61,1767.95,52
20211005,00:00:00,1767.96,1768.27,1748.49,1759.23,43
20211006,00:00:00,1759.28,1765.02,1745.77,1763.91,50
20211007,00:00:00,1763.90,1766.85,1751.84,1755.03,39
20211008,00:00:00,1755.02,1781.23,1753.24,1756.61,38
20211010,00:00:00,1757.14,1758.13,1750.99,1753.88,2
20211011,00:00:00,1753.88,1760.88,1750.07,1753.20,43
20211012,00:00:00,1753.38,1769.24,1750.66,1760.30,42
20211013,00:00:00,1760.30,1796.06,1757.83,1791.64,47
